english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
New update — background helper started	Neues Update — Hintergrund-Helper gestartet	Nouvelle mise à jour — helper démarré	새 업데이트 — 백그라운드 헬퍼 시작됨	Nueva actualización — helper iniciado	Новое обновление — фоновый помощник запущен	Νέα ενημέρωση — ο helper ξεκίνησε στο παρασκήνιο	新的更新 — 后台 helper 已启动	新的更新 — 背景 helper 已啟動	Nuovo aggiornamento — helper in background avviato	Nova atualização — helper em segundo plano iniciado	新しい更新 — ヘルパーを起動しました	Nowa aktualizacja — helper w tle uruchomiony
Newer than installed	Neuer als installiert	Plus récente qu'installée	설치된 것보다 최신	Más nueva que la instalada	Новее установленной	Νεότερη από την εγκατεστημένη	比已安装的更新	比已安裝的新	Più recente di quella installata	Mais nova que a instalada	インストール済みより新しい	Nowsza niż zainstalowana
Next: controller health, required tools, the signing certificate, then the app itself. Each step re-checks live and won't let you continue until it's satisfied.	Als Nächstes: Controller-Zustand, benötigte Tools, das Signaturzertifikat, dann die App selbst. Jeder Schritt prüft live und lässt dich erst weiter, wenn er erfüllt ist.	Ensuite : état de la manette, outils requis, certificat de signature, puis l'app elle-même. Chaque étape revérifie en direct et ne laisse pas continuer avant d'être satisfaite.	다음 순서: 컨트롤러 상태, 필요한 도구, 서명 인증서, 그리고 앱 자체입니다. 각 단계는 실시간으로 다시 확인하며 충족될 때까지 진행할 수 없습니다.	A continuación: estado del mando, herramientas necesarias, el certificado de firma y luego la app. Cada paso se revisa en vivo y no deja continuar hasta cumplirse.	Далее: состояние контроллера, нужные инструменты, сертификат подписи, затем само приложение. Каждый шаг проверяется вживую и не пропустит дальше, пока не выполнен.	Στη συνέχεια: υγεία χειριστηρίου, απαιτούμενα εργαλεία, το πιστοποιητικό υπογραφής και μετά η ίδια η εφαρμογή. Κάθε βήμα ελέγχει ξανά ζωντανά και δεν σας αφήνει να συνεχίσετε πριν ικανοποιηθεί.	接下来：手柄状态、必需工具、签名证书，然后是应用本身。每一步都会实时重新检查，条件不满足就无法继续。	接下來：控制器狀態、必要工具、簽署憑證，然後是應用程式本身。每一步都會即時重新檢查，條件不符就無法繼續。	Ora: stato del controller, strumenti richiesti, certificato di firma, poi l'app stessa. Ogni passo ricontrolla dal vivo e non ti fa proseguire finché non è a posto.	A seguir: estado do controle, ferramentas necessárias, certificado de assinatura e depois o app. Cada etapa verifica ao vivo e só deixa continuar quando estiver satisfeita.	次は、コントローラーの状態、必要なツール、署名証明書、そして本体です。各手順はその場で再確認し、条件を満たすまで先へ進めません。	Dalej: stan kontrolera, wymagane narzędzia, certyfikat podpisu, a potem sama aplikacja. Każdy krok sprawdza na żywo i nie pozwoli przejść dalej, dopóki nie będzie spełniony.
No .cer bundled with this setup build (dev run).	Kein .cer in diesem Setup-Build enthalten (Dev-Lauf).	Aucun .cer fourni avec ce build (exécution dev).	이 설치 빌드에 .cer이 없습니다 (개발 실행).	Este build no incluye .cer (ejecución de desarrollo).	В этой сборке установщика нет .cer (dev-запуск).	Δεν περιλαμβάνεται .cer σε αυτή την έκδοση setup (δοκιμαστική εκτέλεση).	此安装程序版本未附带 .cer (开发运行)。	此安裝程式版本未附帶 .cer (開發執行)。	Nessun .cer incluso in questa build del setup (esecuzione dev).	Nenhum .cer incluído neste build do setup (execução de dev).	このセットアップビルドには .cer が入っていません (開発用実行)。	Brak pliku .cer w tej wersji instalatora (wersja dev).
No .msix bundled with this setup build (dev run).	Kein .msix in diesem Setup-Build enthalten (Dev-Lauf).	Aucun .msix fourni avec ce build (exécution dev).	이 설치 빌드에 .msix가 없습니다 (개발 실행).	Este build no incluye .msix (ejecución de desarrollo).	В этой сборке установщика нет .msix (dev-запуск).	Δεν περιλαμβάνεται .msix σε αυτή την έκδοση setup (δοκιμαστική εκτέλεση).	此安装程序版本未附带 .msix (开发运行)。	此安裝程式版本未附帶 .msix (開發執行)。	Nessun .msix incluso in questa build del setup (esecuzione dev).	Nenhum .msix incluído neste build do setup (execução de dev).	このセットアップビルドには .msix が入っていません (開発用実行)。	Brak pliku .msix w tej wersji instalatora (wersja dev).
No Epic games installed.	Keine Epic-Spiele installiert.	Aucun jeu Epic installé.	설치된 Epic 게임이 없습니다.	No hay juegos de Epic.	Игры Epic не установлены.	Δεν υπάρχουν παιχνίδια Epic.	没有已安装的 Epic 游戏。	沒有已安裝的 Epic 遊戲。	Nessun gioco Epic installato.	Nenhum jogo Epic instalado.	Epic のゲームがありません。	Brak zainstalowanych gier Epic.
No ROM has been played yet.	Noch kein ROM gespielt.	Aucune ROM jouée.	플레이한 ROM이 없습니다.	Aún no has jugado ROMs.	Ни один ROM ещё не запускался.	Δεν έχει παιχτεί ακόμη κανένα ROM.	还没有玩过任何 ROM。	還沒有玩過任何 ROM。	Nessuna ROM giocata finora.	Nenhuma ROM foi jogada ainda.	まだ ROM をプレイしていません。	Nie zagrano jeszcze w żaden ROM.
No ROMs in your Playnite library.	Keine ROMs in deiner Playnite-Bibliothek.	Aucune ROM dans votre bibliothèque Playnite.	Playnite 라이브러리에 ROM이 없습니다.	No hay ROMs en tu biblioteca de Playnite.	В библиотеке Playnite нет ROM-ов.	Δεν υπάρχουν ROM στη βιβλιοθήκη Playnite.	Playnite 游戏库中没有 ROM。	Playnite 遊戲庫中沒有 ROM。	Nessuna ROM nella tua libreria Playnite.	Nenhuma ROM na sua biblioteca Playnite.	Playnite のライブラリに ROM がありません。	Brak ROM-ów w bibliotece Playnite.
No Steam games installed.	Keine Steam-Spiele installiert.	Aucun jeu Steam installé.	설치된 Steam 게임이 없습니다.	No hay juegos de Steam.	Игры Steam не установлены.	Δεν υπάρχουν παιχνίδια Steam.	没有已安装的 Steam 游戏。	沒有已安裝的 Steam 遊戲。	Nessun gioco Steam installato.	Nenhum jogo Steam instalado.	Steam のゲームがありません。	Brak zainstalowanych gier Steam.
No Steam library found on this device.	Keine Steam-Bibliothek auf diesem Gerät gefunden.	Aucune bibliothèque Steam trouvée sur cet appareil.	이 기기에서 Steam 라이브러리를 찾지 못했습니다.	No se encontró una biblioteca de Steam en este dispositivo.	Библиотека Steam на этом устройстве не найдена.	Δεν βρέθηκε βιβλιοθήκη Steam σε αυτή τη συσκευή.	这台设备上没有找到 Steam 游戏库。	這台裝置上沒有找到 Steam 遊戲庫。	Nessuna libreria Steam trovata su questo dispositivo.	Nenhuma biblioteca Steam encontrada neste dispositivo.	このデバイスに Steam ライブラリが見つかりません。	Nie znaleziono biblioteki Steam na tym urządzeniu.
No Xbox games installed.	Keine Xbox-Spiele installiert.	Aucun jeu Xbox installé.	설치된 Xbox 게임이 없습니다.	No hay juegos de Xbox.	Игры Xbox не установлены.	Δεν υπάρχουν παιχνίδια Xbox.	没有已安装的 Xbox 游戏。	沒有已安裝的 Xbox 遊戲。	Nessun gioco Xbox installato.	Nenhum jogo Xbox instalado.	Xbox のゲームがありません。	Brak zainstalowanych gier Xbox.
No apps added yet.	Noch keine Apps hinzugefügt.	Aucune app ajoutée.	아직 추가된 앱이 없습니다.	Aún no hay apps añadidas.	Приложения ещё не добавлены.	Καμία εφαρμογή ακόμη.	还没有添加应用。	還沒有新增應用程式。	Nessuna app aggiunta ancora.	Nenhum app adicionado ainda.	まだアプリを追加していません。	Nie dodano jeszcze aplikacji.
No backup selected	Kein Backup ausgewählt	Aucun backup sélectionné	선택된 백업 없음	Sin copia seleccionada	Копия не выбрана	Δεν επιλέχθηκε αντίγραφο	未选择备份	未選擇備份	Nessun backup selezionato	Nenhum backup selecionado	バックアップが選ばれていません	Nie wybrano kopii
No backups found	Keine Backups gefunden	Aucun backup trouvé	백업을 찾지 못했습니다	No hay copias	Копии не найдены	Δεν βρέθηκαν αντίγραφα	没有找到备份	沒有找到備份	Nessun backup trovato	Nenhum backup encontrado	バックアップがありません	Nie znaleziono kopii
No duplicate helper detected	Kein doppelter Helper gefunden	Aucun helper en double	중복 헬퍼 없음	Sin helpers duplicados	Дублирующий помощник не найден	Δεν εντοπίστηκε διπλός helper	没有发现重复的 helper	沒有發現重複的 helper	Nessun helper duplicato rilevato	Nenhum helper duplicado detectado	重複ヘルパーは見つかりません	Nie wykryto zdublowanego helpera
No existing ClawTweaks installation was found. The setup will guide you through the full first-time installation.	Keine vorhandene ClawTweaks-Installation gefunden. Das Setup führt dich durch die komplette Erstinstallation.	Aucune installation ClawTweaks trouvée. Le setup vous guide dans la première installation complète.	기존 ClawTweaks 설치가 없습니다. 설치 프로그램이 최초 설치 전체를 안내합니다.	No hay instalación previa de ClawTweaks. El setup te guía en la primera instalación.	Установка ClawTweaks не найдена. Установщик проведёт вас через полную первую установку.	Δεν βρέθηκε υπάρχουσα εγκατάσταση ClawTweaks. Το setup θα σας οδηγήσει στην πλήρη πρώτη εγκατάσταση.	没有找到已有的 ClawTweaks 安装。安装程序会引导你完成完整的首次安装。	沒有找到既有的 ClawTweaks 安裝。安裝程式會引導你完成完整的首次安裝。	Nessuna installazione di ClawTweaks trovata. Il setup ti guida nella prima installazione completa.	Nenhuma instalação do ClawTweaks foi encontrada. O setup guiará você pela primeira instalação completa.	既存の ClawTweaks インストールは見つかりませんでした。セットアップが初回インストールを最後まで案内します。	Nie znaleziono instalacji ClawTweaks. Instalator przeprowadzi Cię przez pełną pierwszą instalację.
No favorites yet.	Noch keine Favoriten.	Aucun favori.	즐겨찾기가 없습니다.	No hay favoritos.	Избранного пока нет.	Κανένα αγαπημένο ακόμη.	还没有收藏。	還沒有收藏。	Nessun preferito ancora.	Nenhum favorito ainda.	お気に入りはまだありません。	Brak ulubionych.
No game has been played yet.	Noch kein Spiel gespielt.	Aucun jeu joué pour l'instant.	아직 플레이한 게임이 없습니다.	Aún no has jugado a nada.	Ни одна игра ещё не запускалась.	Δεν έχει παιχτεί ακόμη κανένα παιχνίδι.	还没有玩过任何游戏。	還沒有玩過任何遊戲。	Nessun gioco giocato finora.	Nenhum jogo foi jogado ainda.	まだゲームをプレイしていません。	Nie zagrano jeszcze w żadną grę.
